               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,              0.0354,            0.046336,           0.0064917,             0.26637,            0.010574,           0.0020044,            0.091922,            0.026449,            0.053348,              0.0865,              0.0015,              0.0015
                   1,            0.084566,            0.042369,            0.043338,           0.0081125,             0.70717,            0.083351,             0.01856,            0.067393,            0.025161,            0.051198,            0.072069,           0.0030693,           0.0030693
                   2,            0.069548,            0.037172,            0.037697,             0.19213,              0.3417,              0.2238,            0.080271,            0.060784,            0.024349,            0.030564,            0.057607,           0.0046069,           0.0046069
                   3,             0.06552,            0.036278,            0.031987,             0.68761,             0.26279,             0.27304,            0.088587,            0.059526,            0.020549,            0.029633,            0.043113,           0.0061129,           0.0061129
                   4,             0.06448,            0.037752,             0.02672,             0.40848,             0.20716,             0.22873,            0.063626,             0.06729,            0.017553,            0.028374,            0.028587,           0.0075872,           0.0075872
                   5,              0.0636,            0.036252,            0.024738,             0.70622,             0.25895,              0.3236,             0.11004,            0.065231,             0.01771,            0.024091,             0.01403,           0.0090297,           0.0090297
                   6,            0.060902,            0.032213,            0.021592,             0.37756,             0.50527,             0.42841,             0.12978,            0.064358,            0.017178,            0.019832,            0.009406,            0.009406,            0.009406
                   7,            0.061053,            0.037892,            0.020009,             0.50058,             0.45618,              0.4638,              0.1651,            0.067088,            0.016688,            0.014765,            0.009406,            0.009406,            0.009406
                   8,            0.056945,             0.02881,            0.016037,             0.45247,              0.5105,             0.46257,             0.17072,             0.06451,            0.016814,            0.012804,            0.009307,            0.009307,            0.009307
                   9,            0.055551,            0.031502,            0.014024,             0.41173,             0.60965,               0.498,             0.15892,            0.066036,            0.015891,            0.012882,            0.009208,            0.009208,            0.009208
                  10,            0.054346,            0.028685,            0.012908,             0.49864,             0.59697,             0.48592,             0.17102,            0.056938,            0.016418,            0.011766,            0.009109,            0.009109,            0.009109
                  11,            0.051695,            0.028048,            0.011662,             0.52178,             0.51785,             0.47264,             0.13725,            0.067473,            0.015379,            0.011204,             0.00901,             0.00901,             0.00901
                  12,            0.052496,            0.030177,            0.010892,              0.6652,             0.54432,             0.62328,             0.24206,            0.059789,            0.016506,            0.012273,            0.008911,            0.008911,            0.008911
                  13,            0.051819,            0.029583,            0.011749,             0.43365,             0.67468,             0.46242,              0.1771,             0.06051,            0.016225,             0.01223,            0.008812,            0.008812,            0.008812
                  14,            0.052781,            0.029551,           0.0092877,             0.57449,             0.68943,             0.58723,             0.22723,            0.055981,            0.017163,            0.009898,            0.008713,            0.008713,            0.008713
                  15,            0.050079,            0.029636,           0.0088227,             0.70662,             0.65646,             0.62938,             0.24599,            0.049187,            0.018522,           0.0085099,            0.008614,            0.008614,            0.008614
                  16,            0.050353,            0.027879,           0.0084216,             0.69942,             0.56702,             0.62406,              0.2299,            0.055209,            0.018346,           0.0084364,            0.008515,            0.008515,            0.008515
                  17,            0.046465,            0.027959,             0.01084,             0.69507,             0.64009,             0.63045,             0.28291,            0.049509,            0.016764,           0.0076341,            0.008416,            0.008416,            0.008416
                  18,            0.048229,            0.029405,           0.0084991,             0.75558,             0.60522,             0.68983,             0.27741,             0.04595,            0.016224,            0.007861,            0.008317,            0.008317,            0.008317
                  19,              0.0455,            0.027191,            0.010838,             0.86316,             0.66367,              0.7531,             0.28728,            0.041979,             0.01628,           0.0076627,            0.008218,            0.008218,            0.008218
                  20,            0.046097,             0.02634,           0.0096082,             0.85174,             0.66477,             0.73347,             0.32307,            0.047738,            0.016164,           0.0072154,            0.008119,            0.008119,            0.008119
                  21,            0.047307,             0.02724,           0.0074337,             0.83974,             0.58989,             0.67426,             0.31535,            0.062735,            0.016566,           0.0073882,             0.00802,             0.00802,             0.00802
                  22,            0.047675,            0.026124,            0.011221,             0.88896,             0.65847,             0.75934,             0.37031,            0.047325,            0.016272,           0.0077239,            0.007921,            0.007921,            0.007921
                  23,            0.042475,            0.025289,           0.0098448,             0.87435,             0.66182,             0.73119,             0.34666,            0.048495,            0.015807,            0.010086,            0.007822,            0.007822,            0.007822
                  24,            0.045251,            0.025649,           0.0076588,             0.88284,             0.65181,             0.73641,              0.3686,            0.041853,            0.015222,           0.0098714,            0.007723,            0.007723,            0.007723
                  25,            0.042736,             0.02994,           0.0079622,             0.86172,             0.61325,             0.71098,             0.34348,            0.041444,            0.015234,             0.00798,            0.007624,            0.007624,            0.007624
                  26,            0.041053,            0.025744,           0.0075816,             0.88924,              0.6473,              0.7246,             0.32445,            0.051296,            0.015125,           0.0080203,            0.007525,            0.007525,            0.007525
                  27,            0.041607,            0.025641,           0.0067288,             0.83419,             0.68623,             0.74367,             0.36507,            0.044275,            0.015639,           0.0081976,            0.007426,            0.007426,            0.007426
                  28,            0.040457,            0.025927,           0.0071898,             0.87983,             0.65666,             0.73564,             0.38186,            0.042802,            0.016065,            0.010131,            0.007327,            0.007327,            0.007327
                  29,            0.038838,            0.028395,           0.0067623,             0.80681,             0.64969,             0.70433,             0.36886,            0.041587,             0.01678,            0.010135,            0.007228,            0.007228,            0.007228
                  30,            0.039532,            0.026247,            0.007944,             0.79373,             0.66838,             0.71517,             0.36538,            0.042406,            0.016325,             0.00821,            0.007129,            0.007129,            0.007129
                  31,            0.039541,            0.024683,           0.0078114,             0.86687,             0.70585,             0.75921,             0.35526,            0.044869,            0.015496,           0.0076678,             0.00703,             0.00703,             0.00703
                  32,            0.040596,            0.026442,            0.007106,             0.78857,             0.71423,              0.7537,             0.37984,            0.045124,            0.016848,           0.0091569,            0.006931,            0.006931,            0.006931
                  33,            0.039228,            0.025208,           0.0055383,             0.82707,             0.62739,             0.72282,             0.37148,            0.044652,            0.018399,           0.0092155,            0.006832,            0.006832,            0.006832
                  34,            0.040091,            0.026255,           0.0065965,             0.88886,             0.62247,             0.79962,             0.39086,            0.042116,            0.016498,           0.0075716,            0.006733,            0.006733,            0.006733
                  35,            0.039301,            0.025132,           0.0061919,             0.88143,             0.75677,             0.82725,             0.39331,            0.039351,            0.015921,           0.0048996,            0.006634,            0.006634,            0.006634
                  36,            0.037724,            0.024794,           0.0048377,              0.8566,               0.714,             0.79709,             0.38563,            0.040759,            0.016274,           0.0063083,            0.006535,            0.006535,            0.006535
                  37,            0.039492,            0.026182,           0.0070718,             0.95655,              0.6725,             0.79591,             0.40268,            0.038598,            0.015956,           0.0080761,            0.006436,            0.006436,            0.006436
                  38,            0.039016,             0.02395,           0.0055525,             0.90304,             0.71049,             0.77345,             0.35665,            0.047885,            0.015798,           0.0061944,            0.006337,            0.006337,            0.006337
